Oragnism,UpdatedOrganismName,Group,Frequency
(ESBL POSITIVE) PROTEUS,ENTEROBACTERIAECAE (ESBL+VE) (EXCEPT E COLI & KLEB PNEU),GramNegative,3866
CITROBACTER FREUNDII,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,3769
NEISSERIA GONORRHOEAE,NEISSERIA GONORRHOEAE,GramNegative,3625
(AMPC PRODUCER) KLEBSIELLA PNEUMONIAE,(AMPC PRODUCER) KLEBSIELLA PNEUMONIAE,GramNegative,3622
Salmonella enterica ser. Typhi,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,3395
MORGANELLA MORGANII,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,3390
PROVIDENCIA STUARTII,NOI,NOI,3370
(CARBAPENAMASE PRODUCER) ACINETOBACTER,NOI,NOI,3316
CANDIDA TROPICALIS,CANDIDA SPECIES,GramPositive,3044
SALMONELLA GROUP B,NOI,NOI,2778
CANDIDA PARAPSILOSIS,CANDIDA SPECIES,GramPositive,2244
(AMPC PRODUCER) ENTEROBACTER,NOI,NOI,2227
VANCOMYCIN RESISTANT ENTEROCOCCUS,NOI,NOI,2148
CANDIDA GLABRATA,NOI,NOI,2133
BACTEROIDES FRAGILIS,NOI,NOI,2080
(AMPC PRODUCER) SERRATIA,NOI,NOI,2051
BURKHOLDERIA CEPACIA,NOI,NOI,2030
ENTEROCOCCUS AVIUM GROUP D,NOI,NOI,2013
PSEUDOMONAS PUTIDA,NOI,NOI,1890
STAPHYLOCOCCUS WARNERI,NOI,NOI,1875
STREPTOCOCCUS ANGINOSUS,NOI,NOI,1868
CARBAPENEM RESISTANT E.COLI,NOI,NOI,1713
PREVOTELLA BIVIA,NOI,NOI,1575
ENTEROCOCCUS GALLINARUM,NOI,NOI,1532
ENTEROBACTER CLOACAE/ ABSURIAE,NOI,NOI,1484
ENTEROBACTER CLOACAE SSP DISSOLVENS,NOI,NOI,1468
FINEGOLDIA MAGNA,NOI,NOI,1465
SALMONELLA GROUP,NOI,NOI,1413
(AMPC PRODUCER) MORGANELLA MORGANII,NOI,NOI,1342
MORAXELLA CATARRHALIS,NOI,NOI,1229
PROTEUS VULGARIS,NOI,NOI,1144
PROVIDENCIA RETTGERI,NOI,NOI,1096
Streptococcus mitis/Streptococcus oralis,NOI,NOI,1078
PENICILLIN RESISTANT NEISSERIA GONORRHOEAE,NOI,NOI,1069
(ESBL POSITIVE) KLEBSIELLA OXYTOCA,NOI,NOI,1061
PROTEUS PENNERI,NOI,NOI,1047
KLEBSIELLA OZAENAE,NOI,NOI,1010
(ESBL POSITIVE) MORGANELLA MORGANII,NOI,NOI,976
STREPTOCOCCUS CONSTELLATUS,NOI,NOI,918
ALCALIGENES XYLOSOXIDANS SS. DENITRIFICANS,NOI,NOI,892
ALCALIGENES XYLOSOXIDANS SS. XYLOSOXIDANS,NOI,NOI,892
PEPTOSTREPTOCOCCUS ANAEROBIUS,NOI,NOI,883
(ESBL POSITIVE) ENTEROBACTER CLOACAE,NOI,NOI,880
(AMPC PRODUCER) CITROBACTER,NOI,NOI,873
Corynebacterium striatum,NOI,NOI,864
STREPTOCOCCI  BETA HEMOLYTIC GROUP G,NOI,NOI,858
SALMONELLA GROUP C,NOI,NOI,849
CARBAPENEM RESISTANT ACINETOBACTER,NOI,NOI,808
ACINETOBACTER SPECIES,NOI,NOI,804
HAEMOPHILUS PARAINFLUENZAE,NOI,NOI,786
ACHROMOBACTER XYLOSOXIDANS,NOI,NOI,777
PSEUDOMONAS STUTZERI,NOI,NOI,775
STREPTOCOCCUS EQUISIMILIS,NOI,NOI,753
CITROBACTER SEDLAKII,NOI,NOI,731
VIBRIO CHOLERAE,NOI,NOI,692
ACINETOBACTER LWOFFII,NOI,NOI,691
SHIGELLA FLEXNERI,NOI,NOI,677
SPHINGOMONAS PAUCIMOBILIS,NOI,NOI,647
STREPTOCOCCI  BETA HEMOLYTIC GROUP C,NOI,NOI,647
ANAEROBIC GRAM POSITIVE COCCI,NOI,NOI,622
STREPTOCOCCUS DYSGALACTIAE SSP DYSGALACTIAE,NOI,NOI,608
STREPTOCOCCUS MITIS,NOI,NOI,512
PROTEUS SPECIES,NOI,NOI,503
Proteus hauseri,NOI,NOI,502
MICROCOCCUS LUTEUS,NOI,NOI,481
MULTI DRUG RESISTANT,NOI,NOI,461
ACINETOBACTER JUNII,NOI,NOI,460
STREPTOCOCCUS SANGUIS,NOI,NOI,439
COAGULASE NEGATIVE STAPHYLOCOCCUS,NOI,NOI,421
ENTEROCOCCUS CASSELIFLAVUS,NOI,NOI,419
BACTEROIDES THETAIOTAOMICRON,NOI,NOI,414
Salmonella enterica ser. Paratyphi A,NOI,NOI,413
PSEUDOMONAS SPECIES,NOI,NOI,407
CITROBACTER AMALONATICUS,NOI,NOI,398
ENTEROCOCCUS RAFFINOSUS,NOI,NOI,398
CANDIDA KRUSEI,NOI,NOI,396
SHIGELLA SONNEI,NOI,NOI,395
PEPTOSTREPTOCOCCUS ASACCHAROLYTICUS,NOI,NOI,392
(CARBAPENAMASE PRODUCER) ENTEROBACTER,NOI,NOI,382
STAPHYLOCOCCUS AURICULARIS,NOI,NOI,376
STREPTOCOCCUS INTERMEDIUS,NOI,NOI,369
(ESBL POSITIVE) ENTEROBACTER,NOI,NOI,351
ALPHA STREPTOCOCCUS SPECIES,NOI,NOI,347
Cutibacterium acnes,NOI,NOI,344
CORYNEBACTERIUM SPECIES,NOI,NOI,341
PSEUDOMONAS FLUORESCENS,NOI,NOI,336
CAMPYLOBACTER JEJUNI,NOI,NOI,318
Elizabethkingea meningoseptica,NOI,NOI,313
ENTEROBACTER HORMAECHEI,NOI,NOI,310
FLAVOBACTERIUM INDOLOGENES,NOI,NOI,310
Streptococcus salivarius,NOI,NOI,310
STAPHYLOCOCCUS CAPRAE,NOI,NOI,307
ANAEROBIC GRAM NEGATIVE RODS,NOI,NOI,305
SALMONELLA ENTERICA SPP. DIARIZONAE,NOI,NOI,304
VIBRIO CHOLERAE TYPE INABA,NOI,NOI,304
COMAMONAS TESTOSTERONI,NOI,NOI,295
SALMONELLA ENTERICA SSP ENTERICA,NOI,NOI,285
Raoultella planticola,NOI,NOI,271
ENTEROCOCCUS SPP,NOI,NOI,256
CITROBACTER YOUNGAE,NOI,NOI,252
ENTEROBACTER SPECIES,NOI,NOI,249
STREPTOCOCCI  BETA HEMOLYTIC GROUP A,NOI,NOI,245
(ESBL POSITIVE) SALMONELLA SPECIES,NOI,NOI,241
STREPTOCOCCUS AGALACTIAE,NOI,NOI,241
AEROMONAS HYDROPHILIA/CAVIAE,NOI,NOI,233
MORGANELLA MORGANII SSP SIBONII,NOI,NOI,233
BACTEROIDES SPECIES,NOI,NOI,231
Burkholderia cenocepacia,NOI,NOI,231
(ESBL POSITIVE) CITROBACTER,NOI,NOI,228
ENTEROPATHOGENIC E.COLI TYPE,NOI,NOI,221
Streptococcus parauberis,NOI,NOI,221
ALCALIGENES SPECIES,NOI,NOI,218
KLEBSIELLA SPECIES,NOI,NOI,215
Anaerococcus prevotii,NOI,NOI,211
PREVOTELLA DISIENS,NOI,NOI,204
SERRATIA RUBIDAEA,NOI,NOI,202
STREPTOCOCCUS CONSTELLATUS SSP CONSTELLATUS,NOI,NOI,201
(CARBAPENAMASE PRODUCER) SERRATIA,NOI,NOI,199
SALMONELLA ENTERITIDIS,NOI,NOI,199
STREPTOCOCCUS SPECIES,NOI,NOI,199
AEROMONAS HYDROPHILIA,NOI,NOI,192
STREPTOCOCCUS PASTEURIANUS,NOI,NOI,190
BURKHOLDERIA CEPACIA GROUP,NOI,NOI,186
SALMONELLA GROUP C1,NOI,NOI,186
KLEBSIELLA ORNITHINOLYTICA,NOI,NOI,183
BACTEROIDES VULGATUS,NOI,NOI,182
ENTEROPATHOGENIC E.COLI,NOI,NOI,180
STREPTOCOCCI  BETA HEMOLYTIC GROUP F,NOI,NOI,180
PEPTOSTREPTOCOCCUS MICROS,NOI,NOI,179
ENTEROCOCCUS AVIUM,NOI,NOI,175
SERRATIA FONTICOLA,NOI,NOI,173
CHRYSEOBACTERIUM GLEUM,NOI,NOI,172
STAPHYLOCOCCUS LENTUS,NOI,NOI,172
AEROMONAS SPECIES,NOI,NOI,169
PANTOEA SPP,NOI,NOI,169
Salmonella ser.Typhi,NOI,NOI,168
(ESBL POSITIVE) SERRATIA MARCESCENS,NOI,NOI,166
STREPTOCOCCUS GORDONII,NOI,NOI,166
ANAEROBIC GRAM POSITIVE RODS,NOI,NOI,165
ENTEROBACTER GERGOVIAE,NOI,NOI,163
AEROMONAS SOBRIA,NOI,NOI,154
CAMPYLOBACTER COLI,NOI,NOI,149
CANDIDA DUBLINIENSIS,NOI,NOI,147
(ESBL POSITIVE) CITROBACTER FREUNDII,NOI,NOI,143
(ESBL POSITIVE) SHIGELLA,NOI,NOI,141
CITROBACTER BRAAKII,NOI,NOI,141
ENTEROCOCCUS HIRAE,NOI,NOI,141
CLOSTRIDIUM PERFRINGENS,NOI,NOI,139
STAPHYLOCOCCUS SIMULANS,NOI,NOI,139
CITROBACTER SPECIES,NOI,NOI,137
CARBAPENEM RESISTANT ENTEROBACTER,NOI,NOI,136
PREVOTELLA MELANINOGENICA,NOI,NOI,136
BACTEROIDES OVATUS,NOI,NOI,133
EIKENELLA CORRODENS,NOI,NOI,133
PENICILLIN RESISTANT STREPT PNEUMONIAE,NOI,NOI,133
CANDIDA AURIS,NOI,NOI,127
ENTEROBACTER ASBURIAE,NOI,NOI,126
GEMELLA MORBILLORUM,NOI,NOI,126
SERRATIA LIQUEFACIENS,NOI,NOI,123
PREVOTELLA INTERMEDIA,NOI,NOI,117
Staphylococcus pettenkoferi,NOI,NOI,116
CARBAPENEM RESISTANT PROTEUS,NOI,NOI,115
STREPTOCOCCUS GROUP C,NOI,NOI,114
Campylobacter jejuni,NOI,NOI,113
MYCOBACTERIUM ABCESSUS,NOI,NOI,111
SERRATIA LIQUEFACIENS GROUP,NOI,NOI,107
LECLERCIA ADECARBOXYLATA,NOI,NOI,106
Brevibacterium casei,NOI,NOI,105
CANDIDA LUSITANIAE,NOI,NOI,104
HAEMOPHILUS PARAHAEMOLYTICUS,NOI,NOI,104
ACHROMOBACTER SPECIES,NOI,NOI,101
E.COLI TYPE 026K60,NOI,NOI,101
MICROCOCCUS LUTEUS/LYLAE,NOI,NOI,99
CAMPYLOBACTER SPECIES,NOI,NOI,98
SPINGOMONAS PAUCIMOBILIS,NOI,NOI,98
SALMONELLA GROUP E,NOI,NOI,96
ENTEROCOCCUS DURANS,NOI,NOI,95
PREVOTELLA SPECIES,NOI,NOI,94
STREPTOCOCCUS GALLOLYTICUS SSP GALLOLYTICUS,NOI,NOI,93
BACILLUS SPECIES,NOI,NOI,92
ACINETOBACTER URSIG II,NOI,NOI,91
E.COLI TYPE 0125K70,NOI,NOI,90
NEISSERIA MENINGITIDIS,NOI,NOI,90
CANDIDA KEFYR,NOI,NOI,89
BACILLUS CEREUS,NOI,NOI,87
KOCURIA KRISTINAE,NOI,NOI,86
Pasteurella multocida ssp multocida,NOI,NOI,86
E.COLI TYPE 0127K63,NOI,NOI,85
PREVOTELLA ORALIS,NOI,NOI,85
Bacillus cereus group,NOI,NOI,84
CITROBACTER FARMERI,NOI,NOI,84
STAPHYLOCOCCUS PSEUDINTERMEDIUS,NOI,NOI,84
BURKHOLDERIA PSEUDOMALLEI,NOI,NOI,81
CANDIDA SPECIES,NOI,NOI,81
CHRYSEOBACTERIUM MENINGOSEPTICUM,NOI,NOI,80
STAPHYLOCOCCUS COHNII,NOI,NOI,80
PANTOEA AGGLOMERANS,NOI,NOI,77
SALMONELLA GROUP C2,NOI,NOI,77
(AMPC PRODUCER) PROTEUS,NOI,NOI,76
CHRYSEOBACTERIUM INDOLOGENES,NOI,NOI,76
RHIZOBIUM RADIOBACTER,NOI,NOI,76
ACINETOBACTER GENOSPECIES 3,NOI,NOI,74
ALCALIGENES FAECALIS,NOI,NOI,74
Anaerococcus vaginalis,NOI,NOI,74
AFB GROWN,NOI,NOI,73
SALMONELLA GROUP G,NOI,NOI,73
STAPHYLOCOCCUS COHNII SSP UREALYTICUM,NOI,NOI,73
STREPTOCOCCUS CONSTELLATUS SSP PHARYNGIS,NOI,NOI,73
BREVUNDIMONAS DIMINUTA/VESICULARIS,NOI,NOI,72
ENTEROBACTER SAKAZAKII,NOI,NOI,72
SALMONELLA TYPHIMURIUM,NOI,NOI,72
SHEWANELLA ALGAE,NOI,NOI,72
CLOSTRIDIUM CLOSTRIDIIFORME,NOI,NOI,70
CRONOBACTER SAKAZAKII,NOI,NOI,69
NON LACTOSE FERMENTING GRAM NEGATIVE RODS,NOI,NOI,69
ACINETOBACTER HAEMOLYTICUS,NOI,NOI,67
GROUP G STREPTOCOCCUS,NOI,NOI,66
ENTEROBACTER AGGLOMERANS,NOI,NOI,65
STREPTOCOCCUS THORALTENSIS,NOI,NOI,65
Aeromonas punctata (caviae),NOI,NOI,64
STREPTOCOCCUS ALACTOLYTICUS,NOI,NOI,64
ARCANOBACTERIUM HAEMOLYTICUM,NOI,NOI,63
SALMONELLA CLOLERAE-SUIS,NOI,NOI,63
SHIGELLA BOYDII,NOI,NOI,63
GROUP D STREPTOCOCCUS,NOI,NOI,62
CARBAPENEM RESISTANT MORGANELLA MORGANII,NOI,NOI,61
Corynebacterium amycolatum,NOI,NOI,61
HAEMOPHILUS SPECIES,NOI,NOI,61
Enterobacter cloacae,NOI,NOI,60
Fusobacterium species,NOI,NOI,60
Prevotella timonensis,NOI,NOI,60
CHRYSEOMONAS LUTEOLA,NOI,NOI,59
SHIGELLA DYSENTERIAE,NOI,NOI,59
STREPTOCOCCUS MUTANS,NOI,NOI,59
SALMONELLA PARATYPHI B,NOI,NOI,58
STAPHYLOCOCCUS COHNII SSP COHNII,NOI,NOI,58
MORAXELLA SPECIES,NOI,NOI,57
Acinetobacter pittii,NOI,NOI,56
(ESBL POSITIVE) ACINETOBACTER BAUMANNII,NOI,NOI,55
GRANULICATELLA ADIACENS,NOI,NOI,55
BIFIDOBACTERIUM SPECIES,NOI,NOI,54
Klebsiella pneumoniae ssp pneumoniae,NOI,NOI,54
SERRATIA ODORIFERA,NOI,NOI,54
Peptoniphilus asaccharolyticus,NOI,NOI,53
ALLOIOCOCCUS OTITIS,NOI,NOI,52
BRUCELLA MELITENSIS,NOI,NOI,52
ACHROMOBACTER DENITRIFICANS,NOI,NOI,51
Cutibacterium granulosum,NOI,NOI,51
PSEUDOMONAS PSEUDOALCALIGENES,NOI,NOI,51
LEUCONOSTOC LACTIS,NOI,NOI,50
OCHROBACTRUM ANTHROPI,NOI,NOI,50
Streptococcus pseudopneumoniae,NOI,NOI,50
Actinomyces turicensis,NOI,NOI,49
NEISSERIA SICCA,NOI,NOI,49
Candida orthopsilosis,NOI,NOI,48
ROTHIA MUCILAGINOSA,NOI,NOI,48
Elizabethkingia anophelis,NOI,NOI,47
ANAEROBIC GRAM NEGATIVE COCCI,NOI,NOI,44
COLIFORM,NOI,NOI,44
ACINETOBACTER RADIO-RESISTENS,NOI,NOI,43
ACTINOMYCES NAESLUNDII,NOI,NOI,43
MIXED GROWTH OF CONTAMINATION INCLUDING GROUP B STREPT,NOI,NOI,43
STREPTOCOCCUS GALLOLYTICUS SSP PASTEURIANUS,NOI,NOI,43
STREPTOCOCCUS SALIVARIUS - (VIRIDANS STREP),NOI,NOI,43
Corynebacterium jeikeium,NOI,NOI,42
Klebsiella pneumoniae ssp ozaenae,NOI,NOI,42
MIXED GROWTH INCLUDING CANDIDA SPECIES,NOI,NOI,42
Staphylococcus pasteuri,NOI,NOI,42
Stenotrophomonas maltophilia,NOI,NOI,42
HAFNIA ALVEI,NOI,NOI,41
Microbacterium paraoxydans,NOI,NOI,41
Aeromonas hydrophila,NOI,NOI,40
EWINGELLA AMERICANA,NOI,NOI,40
Salmonella enterica ser. Paratyphi B,NOI,NOI,40
CORYNEBACTERIUM STRIATUM,NOI,NOI,39
KLUYVERA CRYOCRESCENS,NOI,NOI,39
E.COLI TYPE 0111K58,NOI,NOI,38
ESCHERICHIA FERGUSONII,NOI,NOI,38
KOCURIA ROSEA,NOI,NOI,38
ROSEOMONAS GILARDII,NOI,NOI,38
ACTINOMYCES ODONTOLYTICUS,NOI,NOI,37
Lactobacillus casei/paracasei/rhamnosus,NOI,NOI,37
STAPHYLOCOCCUS HOMINIS SSP NOVOBIOSEPTICUS,NOI,NOI,37
STREPTOCOCCUS ANGINOSUS/S.DYSGALACTIAE,NOI,NOI,37
Streptococcus group A,NOI,NOI,37
NOCARDIA SPECIES,NOI,NOI,36
Pandoraea apista,NOI,NOI,36
BACTEROIDES DISTASONIS,NOI,NOI,35
Eggerthella lenta,NOI,NOI,35
MORAXELLA LACUNATA,NOI,NOI,35
VIBRIO FLUVIALIS,NOI,NOI,35
ACINETOBACTER JOHNSONII,NOI,NOI,34
CLOSTRIDIUM TERTIUM,NOI,NOI,34
Enterobacter cloacae ssp cloacae,NOI,NOI,34
FLAVOBACTERIUM ODORATUM,NOI,NOI,34
GEMELLA HAEMOLYSANS,NOI,NOI,34
LEUCONOSTOC PSEUDOMESENTEROIDES,NOI,NOI,34
STAPHYLOCOCCUS INTERMEDIUS,NOI,NOI,34
STAPHYLOCOCCUS XYLOSUS,NOI,NOI,34
BACTEROIDES UNIFORMIS,NOI,NOI,33
Corynebacterium aurimucosum,NOI,NOI,33
PSEUDOMONAS MENDOCINA,NOI,NOI,33
RALSTONIA(BURKHOLDERIA)PICKETTII/'THOMASII',NOI,NOI,32
MICROCOCCUS SPECIES,NOI,NOI,31
Streptococcus dysgalactiae ssp equisimilis,NOI,NOI,31
Candida metapsilosis,NOI,NOI,30
CLOSTRIDIUM BIFERMENTANS,NOI,NOI,30
Geotrichum capitatum,NOI,NOI,30
Neisseria flava/perflava/subflava,NOI,NOI,30
PSEUDOMONAS DIMINUTA,NOI,NOI,30
STREPTOCOCCI  BETA HEMOLYTIC,NOI,NOI,30
VIBRIO ALGINOLYTICUS,NOI,NOI,30
STREPTOCOCCUS EQUINUS,NOI,NOI,29
Alicyclobacillus acidoterrestris/acidocaldarius,NOI,NOI,28
CHROMOBACTERIUM VIOLACEUM,NOI,NOI,28
NEISSERIA MUCOSA,NOI,NOI,28
CLOSTRIDIUM GROUP,NOI,NOI,27
PEPTOCOCCUS ANAEROBIUS,NOI,NOI,27
VEILLONELLA SPECIES,NOI,NOI,27
BURKHOLDERIA GLADIOLI,NOI,NOI,26
CRYPTOCOCCUS NEOFORMANS,NOI,NOI,26
GROUP D  STREPTOCOCCUS,NOI,NOI,26
Pandoraea species,NOI,NOI,26
Bacillus altitudinis/pumilus,NOI,NOI,25
Capnocytophaga sputigena,NOI,NOI,25
LACTOCOCCUS GARVIEAE,NOI,NOI,25
Streptococcus sanguinis,NOI,NOI,25
AEROCOCCUS VIRIDANS,NOI,NOI,24
BACILLUS CIRCULANS,NOI,NOI,24
E.COLI TYPE 0114K90,NOI,NOI,24
E.COLI TYPE 055K59,NOI,NOI,24
EGGERTHELLA LENTA,NOI,NOI,24
HELCOCOCCUS KUNZII,NOI,NOI,24
LACTOCOCCUS LACTIS SSP LACTIS,NOI,NOI,24
MIXED GROWTH INCLUDING,NOI,NOI,24
Peptoniphilus harei,NOI,NOI,24
STREPTOCOCCUS PLURANIMALIUM,NOI,NOI,24
VEILLONELLA PARVULA,NOI,NOI,24
ACTINOMYCES MEYERI,NOI,NOI,23
Burkholderia lata,NOI,NOI,23
CAMPLOBACTER COLI,NOI,NOI,23
CORYNEBACTERIUM XEROSIS,NOI,NOI,23
LISTERIA MONOCYTOGENES,NOI,NOI,23
MORAXELLA SPECIES (PROBABLY NONLIQUEFACIENS),NOI,NOI,23
STAPHYLOCOCCUS SACCHAROLYTICUS,NOI,NOI,23
Streptococcus group B,NOI,NOI,23
BUDVICIA AQUATICA,NOI,NOI,22
Dermabacter hominis,NOI,NOI,22
ENTEROBACTER AMNIGENUS,NOI,NOI,22
ENTEROCOCCUS FAECIUM-(GROUP D),NOI,NOI,22
LEUCONOSTOC CITREUM,NOI,NOI,22
Prevotella nigrescens,NOI,NOI,22
Ralstonia pickettii,NOI,NOI,22
Aeromonas salmonicida ssp salmonicida,NOI,NOI,21
CAMPYLOBACTER JEJUNI SSP JEJUNI,NOI,NOI,21
CLOSTRIDIUM CADAVERIS,NOI,NOI,21
LACTOSE FERMENTING GRAM NEGATIVE RODS,NOI,NOI,21
SERRATIA SPECIES,NOI,NOI,21
Alicyclobacillu sacidoterrestris,NOI,NOI,20
Bacteroides pyogenes,NOI,NOI,20
BURKHOLDERIA VIETNAMIENSIS,NOI,NOI,20
Lysinibacillus fusiformis,NOI,NOI,20
Prevotella buccalis,NOI,NOI,20
Prevotella denticola,NOI,NOI,20
Propionibacterium avidum,NOI,NOI,20
KLUYVERA ASCORBATA,NOI,NOI,19
MORAXELLA (NEISSERIA) OVIS,NOI,NOI,19
PREVOTELLA ORIS,NOI,NOI,19
STREPTOCOCCUS ANGINOSUS/ S. EQUISIMILIS,NOI,NOI,19
Bacillus clausii,NOI,NOI,18
CORYNEBACTERIUM PSEUDODIPHTHERITICUM,NOI,NOI,18
EDWARDSIELLA TARDA,NOI,NOI,18
ESCHERICHIA HERMANNII,NOI,NOI,18
FLAVOMONAS ORYZIHABITANS,NOI,NOI,18
Haemophilus haemoglobinophilus,NOI,NOI,18
KLUYVERA SPECIES,NOI,NOI,18
LACTOBACILLUS CASEI,NOI,NOI,18
LEUCONOSTOC MESENTEROIDES SSP CREMORIS,NOI,NOI,18
NEISSERIA SPECIES,NOI,NOI,18
Paenibacillus provencensis,NOI,NOI,18
PREVOTELLA BUCCAE,NOI,NOI,18
WEISSELLA CONFUSA,NOI,NOI,18
ACTINOBACULUM SCHAALII,NOI,NOI,17
CANDIDA GUILLIERMONDII,NOI,NOI,17
CLOSTRIDIUM RAMOSUM,NOI,NOI,17
PEDIOCOCCUS PENTOSACEUS,NOI,NOI,17
Veillonella Species,NOI,NOI,17
Anaerococcus tetradius,NOI,NOI,16
CEDECEA LAPAGEI,NOI,NOI,16
Dolosigranulum pigrum,NOI,NOI,16
Exiguobacterium aurantiacum,NOI,NOI,16
Kocuria rhizophila,NOI,NOI,16
Lactobacillus acidophilus/gasseri,NOI,NOI,16
Neisseria flava,NOI,NOI,16
PREVOTELLA DENTICOLA,NOI,NOI,16
PROVIDENCIA ALCALIFACIENS,NOI,NOI,16
Actinomyces neuii,NOI,NOI,15
CORYNEBACTERIUM GROUP JK,NOI,NOI,15
FLAVOBACTERIUM SPECIES,NOI,NOI,15
